ObservationDate,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active
2020-01-24,France,NA,2,0,0,0
2020-01-25,France,NA,3,0,0,0
2020-01-26,France,NA,3,0,0,0
2020-01-27,France,NA,3,0,0,0
2020-01-28,France,NA,4,0,0,0
2020-01-28,Germany,Bavaria,4,0,0,0
2020-01-29,France,NA,5,0,0,0
2020-01-29,Germany,Bavaria,4,0,0,0
2020-01-29,Finland,NA,1,0,0,0
2020-01-30,France,NA,5,0,0,0
2020-01-30,Germany,Bavaria,4,0,0,0
2020-01-30,Finland,NA,1,0,0,0
2020-01-31,France,NA,5,0,0,0
2020-01-31,Germany,Bavaria,5,0,0,0
2020-01-31,Italy,NA,2,0,0,0
2020-01-31,United Kingdom,NA,2,0,0,0
2020-01-31,Russia,NA,2,0,0,0
2020-01-31,Finland,NA,1,0,0,0
2020-01-31,Sweden,NA,1,0,0,0
2020-01-31,Italy,NA,2,0,0,2
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Italy,NA,2,0,0,2
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Italy,NA,2,0,0,2
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Italy,NA,2,0,0,2
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Italy,NA,2,0,0,2
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Italy,NA,2,0,0,2
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-01-31,Russia,NA,2,0,0,2
2020-01-31,Finland,NA,1,0,0,1
2020-02-01,Germany,NA,8,0,0,8
2020-02-01,France,NA,6,0,0,6
2020-02-01,United Kingdom,NA,2,0,0,2
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,France,NA,6,0,0,6
2020-02-01,United Kingdom,NA,2,0,0,2
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,France,NA,6,0,0,6
2020-02-01,United Kingdom,NA,2,0,0,2
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,France,NA,6,0,0,6
2020-02-01,United Kingdom,NA,2,0,0,2
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,France,NA,6,0,0,6
2020-02-01,United Kingdom,NA,2,0,0,2
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,France,NA,6,0,0,6
2020-02-01,United Kingdom,NA,2,0,0,2
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,France,NA,6,0,0,6
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Spain,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-01,Sweden,NA,1,0,0,1
2020-02-02,Germany,NA,10,0,0,10
2020-02-03,Germany,NA,12,0,0,12
2020-02-03,Germany,NA,12,0,0,12
2020-02-03,Germany,NA,12,0,0,12
2020-02-03,Germany,NA,12,0,0,12
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-04,Belgium,NA,1,0,0,1
2020-02-07,Germany,NA,13,0,0,13
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,United Kingdom,NA,3,0,0,3
2020-02-07,Germany,NA,13,0,0,13
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,United Kingdom,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,United Kingdom,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-07,Italy,NA,3,0,0,3
2020-02-08,France,NA,11,0,0,11
2020-02-08,France,NA,11,0,0,11
2020-02-08,France,NA,11,0,0,11
2020-02-08,France,NA,11,0,0,11
2020-02-09,Germany,NA,14,0,0,14
2020-02-09,Spain,NA,2,0,0,2
2020-02-09,Germany,NA,14,0,0,14
2020-02-09,Spain,NA,2,0,0,2
2020-02-09,Spain,NA,2,0,0,2
2020-02-09,Spain,NA,2,0,0,2
2020-02-09,Spain,NA,2,0,0,2
2020-02-09,Spain,NA,2,0,0,2
2020-02-10,United Kingdom,NA,8,0,0,8
2020-02-10,United Kingdom,NA,8,0,0,8
2020-02-11,Germany,NA,16,0,0,16
2020-02-11,Germany,NA,16,0,0,16
2020-02-12,France,NA,11,0,2,9
2020-02-12,United Kingdom,NA,9,0,1,8
2020-02-12,Russia,NA,2,0,2,0
2020-02-12,Finland,NA,1,0,1,0
